year_census,date_census_start,date_census_end,state_abb,state_name,state_region,state_division,population,median_household_income,census_current_flag
2015,2015-01-01,2015-12-31,TX,Texas,South,West South Central,26538614,53207,FALSE
2015,2015-01-01,2015-12-31,UT,Utah,West,Mountain,2903379,60727,FALSE
2015,2015-01-01,2015-12-31,VT,Vermont,Northeast,New England,626604,55176,FALSE
2015,2015-01-01,2015-12-31,VA,Virginia,South,South Atlantic,8256630,65015,FALSE
2015,2015-01-01,2015-12-31,WA,Washington,West,Pacific,6985464,61062,FALSE
2015,2015-01-01,2015-12-31,WV,West Virginia,South,South Atlantic,1851420,41751,FALSE
2015,2015-01-01,2015-12-31,WI,Wisconsin,North Central,East North Central,5742117,53357,FALSE
2015,2015-01-01,2015-12-31,WY,Wyoming,West,Mountain,579679,58840,FALSE
2015,2015-01-01,2015-12-31,DC,Puerto Rico,Northeast,South Atlantic,3583073,19350,FALSE
2016,2016-01-01,2016-12-31,AL,Alabama,South,East South Central,4841164,44758,FALSE
2016,2016-01-01,2016-12-31,AK,Alaska,West,Pacific,736855,74444,FALSE
2016,2016-01-01,2016-12-31,AZ,Arizona,West,Mountain,6728577,51340,FALSE
2016,2016-01-01,2016-12-31,AR,Arkansas,South,West South Central,2968472,42336,FALSE
2016,2016-01-01,2016-12-31,CA,California,West,Pacific,38654206,63783,FALSE
2016,2016-01-01,2016-12-31,CO,Colorado,West,Mountain,5359295,62520,FALSE
2016,2016-01-01,2016-12-31,CT,Connecticut,Northeast,New England,3588570,71755,FALSE
2016,2016-01-01,2016-12-31,DE,Delaware,South,South Atlantic,934695,61017,FALSE
2016,2016-01-01,2016-12-31,DC,District of Columbia,Northeast,South Atlantic,659009,72935,FALSE
2016,2016-01-01,2016-12-31,FL,Florida,South,South Atlantic,19934451,48900,FALSE
2016,2016-01-01,2016-12-31,GA,Georgia,South,South Atlantic,10099320,51037,FALSE
2016,2016-01-01,2016-12-31,HI,Hawaii,West,Pacific,1413673,71977,FALSE
2016,2016-01-01,2016-12-31,ID,Idaho,West,Mountain,1635483,49174,FALSE
2016,2016-01-01,2016-12-31,IL,Illinois,North Central,East North Central,12851684,59196,FALSE
2016,2016-01-01,2016-12-31,IN,Indiana,North Central,East North Central,6589578,50433,FALSE
2016,2016-01-01,2016-12-31,IA,Iowa,North Central,West North Central,3106589,54570,FALSE
2016,2016-01-01,2016-12-31,KS,Kansas,North Central,West North Central,2898292,53571,FALSE
2016,2016-01-01,2016-12-31,KY,Kentucky,South,East South Central,4411989,44811,FALSE
2016,2016-01-01,2016-12-31,LA,Louisiana,South,West South Central,4645670,45652,FALSE
2016,2016-01-01,2016-12-31,ME,Maine,Northeast,New England,1329923,50826,FALSE
2016,2016-01-01,2016-12-31,MD,Maryland,South,South Atlantic,5959902,76067,FALSE
2016,2016-01-01,2016-12-31,MA,Massachusetts,Northeast,New England,6742143,70954,FALSE
2016,2016-01-01,2016-12-31,MI,Michigan,North Central,East North Central,9909600,50803,FALSE
2016,2016-01-01,2016-12-31,MN,Minnesota,North Central,West North Central,5450868,63217,FALSE
2016,2016-01-01,2016-12-31,MS,Mississippi,South,East South Central,2989192,40528,FALSE
2016,2016-01-01,2016-12-31,MO,Missouri,North Central,West North Central,6059651,49593,FALSE
2016,2016-01-01,2016-12-31,MT,Montana,West,Mountain,1023391,48380,FALSE
2016,2016-01-01,2016-12-31,NE,Nebraska,North Central,West North Central,1881259,54384,FALSE
2016,2016-01-01,2016-12-31,NV,Nevada,West,Mountain,2839172,53094,FALSE
2016,2016-01-01,2016-12-31,NH,New Hampshire,Northeast,New England,1327503,68485,FALSE
2016,2016-01-01,2016-12-31,NJ,New Jersey,Northeast,Middle Atlantic,8915456,73702,FALSE
2016,2016-01-01,2016-12-31,NM,New Mexico,West,Mountain,2082669,45674,FALSE
2016,2016-01-01,2016-12-31,NY,New York,Northeast,Middle Atlantic,19697457,60741,FALSE
2016,2016-01-01,2016-12-31,NC,North Carolina,South,South Atlantic,9940828,48256,FALSE
2016,2016-01-01,2016-12-31,ND,North Dakota,North Central,West North Central,736162,59114,FALSE
2016,2016-01-01,2016-12-31,OH,Ohio,North Central,East North Central,11586941,50674,FALSE
2016,2016-01-01,2016-12-31,OK,Oklahoma,South,West South Central,3875589,48038,FALSE
2016,2016-01-01,2016-12-31,OR,Oregon,West,Pacific,3982267,53270,FALSE
2016,2016-01-01,2016-12-31,PA,Pennsylvania,Northeast,Middle Atlantic,12783977,54895,FALSE
